,Unnamed: 0,Season,WK,Fav,Line,Dog
0,0,2011,1,Green Bay,5.0,New Orleans
1,1,2011,1,Baltimore,1.0,Pittsburgh
2,2,2011,1,Tampa Bay,1.5,Detroit
3,3,2011,1,Atlanta,2.0,Chicago
4,4,2011,1,Kansas City,4.0,Buffalo
5,5,2011,1,Houston,8.5,Indianapolis
6,6,2011,1,Philadelphia,4.0,LA Rams
7,7,2011,1,Cleveland,7.0,Cincinnati
8,8,2011,1,Tennessee,1.0,Jacksonville
9,9,2011,1,NY Giants,1.0,Washington
10,10,2011,1,Arizona,6.5,Carolina
11,11,2011,1,San Francisco,6.0,Seattle
12,12,2011,1,LA Chargers,9.0,Minnesota
13,13,2011,1,NY Jets,6.5,Dallas
14,14,2011,1,New England,7.0,Miami
15,15,2011,1,Denver,3.0,Oakland
16,16,2011,2,NY Jets,9.5,Jacksonville
17,17,2011,2,New Orleans,6.5,Chicago
18,18,2011,2,Detroit,8.0,Kansas City
19,19,2011,2,Buffalo,3.0,Oakland
20,20,2011,2,Washington,3.5,Arizona
21,21,2011,2,Baltimore,6.0,Tennessee
22,22,2011,2,Pittsburgh,14.0,Seattle
23,23,2011,2,Green Bay,10.0,Carolina
24,24,2011,2,Minnesota,3.0,Tampa Bay
25,25,2011,2,Cleveland,2.0,Indianapolis
26,26,2011,2,Dallas,3.0,San Francisco
27,27,2011,2,Houston,3.0,Miami
28,28,2011,2,New England,7.0,LA Chargers
29,29,2011,2,Denver,3.5,Cincinnati
30,30,2011,2,Philadelphia,2.5,Atlanta
31,31,2011,2,NY Giants,6.0,LA Rams
32,32,2011,3,Philadelphia,7.5,NY Giants
33,33,2011,3,NY Jets,3.5,Oakland
34,34,2011,3,Cincinnati,2.5,San Francisco
35,35,2011,3,New England,8.5,Buffalo
36,36,2011,3,New Orleans,4.0,Houston
37,37,2011,3,Cleveland,2.5,Miami
38,38,2011,3,Tennessee,6.5,Denver
39,39,2011,3,Detroit,3.5,Minnesota
40,40,2011,3,Carolina,3.5,Jacksonville
41,41,2011,3,LA Chargers,14.5,Kansas City
42,42,2011,3,Baltimore,4.0,LA Rams
43,43,2011,3,Tampa Bay,1.5,Atlanta
44,44,2011,3,Arizona,3.5,Seattle
45,45,2011,3,Green Bay,3.5,Chicago
46,46,2011,3,Pittsburgh,10.5,Indianapolis
47,47,2011,3,Dallas,6.5,Washington
48,48,2011,4,NY Giants,1.5,Arizona
49,49,2011,4,Baltimore,3.5,NY Jets
50,50,2011,4,Dallas,1.5,Detroit
51,51,2011,4,New Orleans,7.0,Jacksonville
52,52,2011,4,Philadelphia,8.5,San Francisco
53,53,2011,4,Washington,1.5,LA Rams
54,54,2011,4,Cleveland,1.5,Tennessee
55,55,2011,4,Buffalo,3.0,Cincinnati
56,56,2011,4,Minnesota,1.5,Kansas City
57,57,2011,4,Chicago,6.5,Carolina
58,58,2011,4,Houston,4.0,Pittsburgh
59,59,2011,4,Atlanta,4.5,Seattle
60,60,2011,4,LA Chargers,7.0,Miami
61,61,2011,4,Green Bay,12.5,Denver
62,62,2011,4,New England,4.5,Oakland
63,63,2011,4,Tampa Bay,10.0,Indianapolis
64,64,2011,5,NY Giants,10.0,Seattle
65,65,2011,5,New England,9.0,NY Jets
66,66,2011,5,Indianapolis,2.5,Kansas City
67,67,2011,5,Minnesota,2.5,Arizona
68,68,2011,5,Philadelphia,2.5,Buffalo
69,69,2011,5,Houston,6.0,Oakland
70,70,2011,5,New Orleans,6.5,Carolina
71,71,2011,5,Jacksonville,2.5,Cincinnati
72,72,2011,5,Pittsburgh,3.0,Tennessee
73,73,2011,5,San Francisco,3.0,Tampa Bay
74,74,2011,5,LA Chargers,4.0,Denver
75,75,2011,5,Green Bay,6.0,Atlanta
76,76,2011,5,Detroit,5.5,Chicago
77,77,2011,6,NY Giants,3.5,Buffalo
78,78,2011,6,Green Bay,15.0,LA Rams
79,79,2011,6,Pittsburgh,12.0,Jacksonville
80,80,2011,6,Philadelphia,1.5,Washington
81,81,2011,6,Detroit,4.5,San Francisco
82,82,2011,6,Atlanta,4.0,Carolina
83,83,2011,6,Cincinnati,7.0,Indianapolis
84,84,2011,6,Baltimore,7.5,Houston
85,85,2011,6,Oakland,6.5,Cleveland
86,86,2011,6,New England,7.0,Dallas
87,87,2011,6,New Orleans,4.5,Tampa Bay
88,88,2011,6,Chicago,3.0,Minnesota
89,89,2011,6,NY Jets,7.0,Miami
90,90,2011,7,LA Chargers,2.0,NY Jets
91,91,2011,7,Chicago,1.0,Tampa Bay
92,92,2011,7,Carolina,2.5,Washington
93,93,2011,7,Cleveland,3.0,Seattle
94,94,2011,7,Tennessee,3.0,Houston
95,95,2011,7,Miami,2.0,Denver
96,96,2011,7,Detroit,3.5,Atlanta
97,97,2011,7,Oakland,4.5,Kansas City
98,98,2011,7,Pittsburgh,3.5,Arizona
99,99,2011,7,Dallas,13.0,LA Rams
100,100,2011,7,Green Bay,9.0,Minnesota
101,101,2011,7,New Orleans,14.0,Indianapolis
102,102,2011,7,Baltimore,8.0,Jacksonville
103,103,2011,8,NY Giants,10.0,Miami
104,104,2011,8,Tennessee,8.5,Indianapolis
105,105,2011,8,Houston,9.5,Jacksonville
106,106,2011,8,Carolina,3.5,Minnesota
107,107,2011,8,New Orleans,13.5,LA Rams
108,108,2011,8,Baltimore,13.0,Arizona
109,109,2011,8,Buffalo,6.0,Washington
110,110,2011,8,Detroit,3.0,Denver
111,111,2011,8,New England,3.0,Pittsburgh
112,112,2011,8,San Francisco,8.5,Cleveland
113,113,2011,8,Cincinnati,3.0,Seattle
114,114,2011,8,Philadelphia,3.5,Dallas
115,115,2011,8,LA Chargers,3.5,Kansas City
116,116,2011,9,Buffalo,2.0,NY Jets
117,117,2011,9,New England,9.0,NY Giants
118,118,2011,9,Atlanta,7.0,Indianapolis
119,119,2011,9,New Orleans,8.0,Tampa Bay
120,120,2011,9,Houston,11.0,Cleveland
121,121,2011,9,Kansas City,4.0,Miami
122,122,2011,9,San Francisco,3.5,Washington
123,123,2011,9,Dallas,11.5,Seattle
124,124,2011,9,Oakland,8.0,Denver
125,125,2011,9,Tennessee,3.0,Cincinnati
126,126,2011,9,Arizona,2.5,LA Rams
127,127,2011,9,Green Bay,5.5,LA Chargers
128,128,2011,9,Pittsburgh,3.0,Baltimore
129,129,2011,9,Philadelphia,7.5,Chicago
130,130,2011,10,San Francisco,3.5,NY Giants
131,131,2011,10,NY Jets,1.5,New England
132,132,2011,10,Pittsburgh,3.0,Cincinnati
133,133,2011,10,Kansas City,3.0,Denver
134,134,2011,10,Jacksonville,3.0,Indianapolis
135,135,2011,10,Dallas,5.5,Buffalo
136,136,2011,10,Houston,3.0,Tampa Bay
137,137,2011,10,Carolina,3.5,Tennessee
138,138,2011,10,Miami,4.0,Washington
139,139,2011,10,Atlanta,0.0,New Orleans
140,140,2011,10,Chicago,3.0,Detroit
141,141,2011,10,Cleveland,2.5,LA Rams
142,142,2011,10,Philadelphia,14.0,Arizona
143,143,2011,10,Baltimore,6.5,Seattle
144,144,2011,10,Green Bay,13.5,Minnesota
145,145,2011,10,LA Chargers,7.0,Oakland
146,146,2011,11,NY Jets,6.0,Denver
147,147,2011,11,NY Giants,4.5,Philadelphia
148,148,2011,11,Atlanta,6.0,Tennessee
149,149,2011,11,Miami,2.5,Buffalo
150,150,2011,11,Baltimore,7.0,Cincinnati
151,151,2011,11,Cleveland,0.0,Jacksonville
152,152,2011,11,Oakland,1.0,Minnesota
153,153,2011,11,Detroit,7.0,Carolina
154,154,2011,11,Green Bay,14.0,Tampa Bay
155,155,2011,11,Dallas,7.5,Washington
156,156,2011,11,San Francisco,9.5,Arizona
157,157,2011,11,LA Rams,1.5,Seattle
158,158,2011,11,Chicago,3.5,LA Chargers
159,159,2011,11,New England,14.5,Kansas City
160,160,2011,12,NY Jets,9.0,Buffalo
161,161,2011,12,LA Rams,0.0,Arizona
162,162,2011,12,Cincinnati,7.5,Cleveland
163,163,2011,12,Houston,3.5,Jacksonville
164,164,2011,12,Carolina,3.0,Indianapolis
165,165,2011,12,Tennessee,3.5,Tampa Bay
